benchmark,id,gold,pred,correct,oracle_hit,unique_answer_count,graph_count,probe_count,selection_mode,error,question_preview
aiw,35,3,3,True,True,2,2,1,verified_anchor,,"Alice has 4 brothers and she also has 2 sisters. How many sisters does Alice's brother have? Before providing answer to this problem, think carefully and double"
aiw,102,3,3,True,True,1,2,0,verified_anchor,,"Bob has 4 brothers and he also has 3 sisters. How many sisters does Bob's brother have? Solve this problem and provide the final answer in following form: ""### "
aiw,563,66,65,False,False,1,2,0,verified_anchor,,"Alice has 65 sisters and she also has 63 brothers. How many sisters does Alice's brother have? Before providing answer to this problem, think carefully step by "
aiw+,27,7,7,True,True,2,2,0,verified_anchor,,Alice has 2 sisters and no other siblings. Her mother has 1 sister who does not have children and who has 6 nephews and nieces and also 2 brothers. Alice's fath
aiw+,12,2,2,True,True,2,2,0,verified_anchor,,Alice has 4 sisters. Her mother has 1 sister who does not have children and who has 6 nephews and nieces and also 2 brothers. Alice's father has a brother who h
aiw+,42,2,4,False,True,2,2,0,verified_anchor,,Alice has 1 sister and 3 brothers in total. Her mother has 2 brothers. She also has 1 sister who does not have children and who has 6 nephews and nieces in tota
logiqa,544,C,B,False,False,1,2,0,verified_anchor,,"Passage: There are 6 warehouses in a warehouse, in order from 1 to 6. There are 6 kinds of goods F, G, L, M, P, T. Each warehouse stores exactly one of 6 kinds "
logiqa,90,D,C,False,False,1,2,0,verified_anchor,,"Passage: Mr. Chen is going to hold a gathering of friends and family. He came forward and invited his father's brother-in-law, his brother-in-law's father, his "
logiqa,48,C,C,True,True,1,2,0,verified_anchor,,"Passage: With the help of animal fossils and DNA retained in specimens, and using increasingly advanced cloning and genetic techniques, humans have been able to"
lsat_ar,220,E,E,True,True,2,2,0,verified_anchor,,"At an upcoming exhibition, four art students—Franz, Greene, Hidalgo, and Isaacs—will each display exactly two paintings—an oil and a watercolor. Exactly two pai"
lsat_ar,162,C,C,True,True,1,2,0,verified_anchor,,"A detective is trying to determine the order in which a criminal recruited seven accomplices—Peters, Quinn, Rovero, Stanton, Tao, Villas, and White. In addition"
lsat_ar,116,C,C,True,True,1,2,0,verified_anchor,,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be "
mathqa,2790,C,C,True,True,1,2,0,verified_anchor,,a person lent a certain sum of money at 5 % per annum at simple interest and in 8 years the interest amounted to $ 420 less than the sum lent . what was the sum
mathqa,1968,E,E,True,True,1,2,0,verified_anchor,,amit and ananthu can do a work in 15 days and 60 days respectively . amit started the work and left after 3 days . ananthu took over and completed the work . in
mathqa,405,D,D,True,True,2,2,0,verified_anchor,,"a and b complete a work in 80 days . a alone can do it in 40 days . if both together can do the work in how many days ?  Options: a ) 1.0875 days , b ) 0.1875 d"
medqa,786,D,D,True,True,1,2,0,verified_anchor,,A 14-year-old boy is brought to the emergency department by his mother after falling from the jungle gym and developing severe left knee pain and swelling. On p
medqa,853,C,,,,0,0,0,,"Azure OpenAI API call failed: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'detected': False, 'filtered': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",A 22-year-old man is brought to the emergency department by police after he was found undressing himself outside in 110°F weather. The patient refuses to answer
medqa,605,B,B,True,True,1,2,0,verified_anchor,,A 25-year-old man is brought to the emergency department by police. He was found at a local celebration acting very strangely and was reported by other patrons 
